,name,birthplace,birth_place
20449,Would-Be-Goods,,
20450,13th century,,
20451,Frank Zander,,
20452,Nuvo,,
20453,Sam West,,
20454,Tam Tam 2000,,
20455,Tindrum,,
20456,Sigue Sigue Sputnik,"London, England",
20457,2 Much,,
20458,Think Out Loud,,
20459,Sun-60,"Los Angeles, California",
20460,Horacio Salinas,,
20461,Ahmad Azad,Zahedan,
20462,Valentino,,
20463,Colin Chin,"Fort Wayne, Indiana|Fort Wayne, Indiana, United States|U.S.",
20464,Wallace Derouen,,
20465,Myrna Summers & Rev. Timothy Wright,"Washington, D.C., United States",
20466,Uncle Slam,"Los Angeles, California|Los Angeles, California, United States",
20467,Pestilence,"Enschede, Netherlands","Enschede, Netherlands"
20468,Steve Gaines,Seneca,
20469,Jasbir Kaur,,
20470,Indestroy,,
20471,Pance Pondaag,,
20472,The Avengers,,
20473,Schoolly D,,
20474,Gordon Fergus-Thompson,,
20475,Smashed Gladys,,
20476,Govi,{{flagicon|Germany }} Germany,
20477,Atrophy,,
20478,Sparky D,"Brooklyn, New York City, New York (state)|New York, U.S.",
20479,Banshee,,
20480,Red Rodney,"Philadelphia, Pennsylvania, U.S.",
20481,The Gospel Keynotes,,
20482,Kurt Bestor,Waukesha,
20483,Waxing Poetics,,
20484,Jonathan Edwards & Seldom Scene,,
20485,Biz Markie,New York City,
20486,Milo Hrnic,,
20487,Dean Fraser,"Kingston, Jamaica",
20488,Neşet Ertaş,Çiçekdağı,
20489,The Natural Spiritual Orchestra,,
20490,Sore Throat,,
20491,The Soup Dragons,"Bellshill, Lanarkshire, Scotland",
20492,Juan Bau,,
20493,Unni Menon,"Palakkad, Kerala, India",
20494,Flaminio Arzamendia y Su Conjunto Los Romanceros Nativos,,
20495,Lime Spiders,"Sydney, New South Wales, Australia",
20496,Sur - Sudha,,
20497,Battlefield Band,"Glasgow, Scotland|Glasgow, Scotland, United Kingdom",
20498,Pardesi,,
20499,Gerry Boulet,Saint-Jean-sur-Richelieu,
20500,"Ance, Pance",,
20501,Ministério Koinonya de Louvor,,
20502,Manufacture,,
20503,Wayne Roland Brown,,
20504,Los Intocables,,
20505,楚世及指揮北京愛樂民樂團-范上娥、曹正、李汴,,
20506,Robby Rosa,,
20507,Bobby Leger,,
20508,Arno,Ostend,
20509,Mark Farner,Flint,
20510,El Grupo Libra,,
20511,Michał Bajor,"Głuchołazy, Poland",
20512,Jorge Sepúlveda,Valencia,
20513,Eli Rygg,Veblungsnes,
20514,Helen O'Connell,"Lima, Ohio, U.S.",
20515,Deborahe Glasgow,"London, England",
20516,Stewart Copeland,Alexandria,
20517,Axegrinder,,
20518,Frederic Austin,London,
20519,Matelo Ferret,Le Petit-Quevilly,
20520,Vincenzo Bertolusi,,
20521,Nilla Pizzi,Sant'Agata Bolognese,
20522,Orison,,
20523,FairHope,,
