,name,birthplace,birth_place
20600,G Venugopal,,
20601,Jiří Korn,"Prague, Czechoslovakia",
20602,Yang Hee Eun,,
20603,Sandee,,
20604,Bhakta Raj Aacharya,,
20605,Garth Hudson,Windsor,
20606,Jimmie Dale Gilmore,Amarillo,
20607,Dumdum Boys,,
20608,Sneak's Noyse,,
20609,The Lilac Time,"Herefordshire, England",
20610,Dean Dillon,Rocky Top,
20611,Dr. Boogie,,
20612,Penelope Milford,"St. Louis, Missouri, U.S.",
20613,Johnny El Bravo,,
20614,Insted,,
20615,Buccleuch & Queensberry Caledonia Pipe Band,,
20616,Bordon 4,,
20617,Tobias Picker,New York City,
20618,Gaither Vocal Band,,
20619,Nasty Rox Inc.,,
20620,Meliah Rage,"Boston, Massachusetts, U.S.",
20621,The Scottish Fiddle Orchestra,,
20622,Maureen McGovern,"Youngstown, Ohio|Youngstown, Ohio, United States",
20623,Tom Petty,Gainesville,
20624,Nine Inch Nails,"Cleveland|Cleveland, Ohio, U.S.",
20625,Young MC,Wimbledon,
20626,Alannah Myles,Toronto,
20627,Fugazi,"Washington, D.C., U.S.",
20628,Bad English,"Los Angeles, California, United States|U.S.",
20629,Warrant,,
20630,Alan Jackson,Newnan,
20631,Clint Black,Long Branch,
20632,Tone-Loc,,
20633,Operation Ivy,"Berkeley, California, U.S.","Berkeley, California, U.S."
20634,Technotronic,"Aalst, Belgium|Aalst, Belgium",
20635,Ricardo Arjona,Jocotenango,
20636,After 7,"Indianapolis, Indiana, U.S.",
20637,Michel'le,Compton,
20638,The Kentucky Headhunters,"Edmonton, Kentucky, U.S.",
20639,Soul II Soul,"London, United Kingdom",
20640,The Seekers,"Melbourne, Victoria (Australia)|Victoria, Australia",
20641,Lisa Stansfield,Manchester,
20642,Gloria Trevi,Monterrey,
20643,The D.O.C.,Dallas,
20644,Too $hort,,
20645,Spiral Starecase,"Sacramento, California|Sacramento, California, United States",
20646,Julio Chaidez,,
20647,Special Ed,,
20648,Jane Child,Toronto,
20649,Viti Ruiz,,
20650,Mr. Big,,
20651,Neneh Cherry,Stockholm,
20652,Mellow Man Ace,"Pinar del Río, Pinar del Río Province, Cuba",
20653,Annihilator,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada"
20654,Mazz,"Brownsville, Texas,  United States| genre",
20655,Mily Balakirev,Nizhny Novgorod,
20656,Marty Stuart,Philadelphia,
20657,Michael Penn,Greenwich Village,
20658,Extreme,"Boston, Massachusetts, United States","Boston, Massachusetts, United States"
20659,Inner City,"Detroit, Michigan, United States","Detroit, Michigan, United States"
20660,Kool Moe Dee,New York City,
20661,Lenny Kravitz,New York City,
20662,Slaughter,"Las Vegas, Nevada, U.S.","Las Vegas, Nevada, U.S."
20663,Julee Cruise,"Creston, Iowa, United States",
20664,Kaoma,"Paris, France",
20665,Soundgarden,"Seattle|Seattle, Washington, U.S.",
20666,Danger Danger,"Queens, New York City|New York, United States",
20667,Bonham,,
20668,The McGuire Sisters,"Middletown, Ohio, U.S.",
20669,Mr. Fingers,,
20670,Morbid Angel,"Tampa, Florida|Tampa, Florida, U.S.",
20671,Clair Marlo,"New York City, United States",
20672,Seduction,,
20673,The Ocean Blue,"Hershey, Pennsylvania, United States",
20674,Obituary,"Tampa, Florida, United States","Tampa, Florida, United States"
20675,GIANT,,
20676,Nena Leal,,
20677,The Canton Spirituals,,
20678,3rd Bass,"Queens, New York City, New York (state)|New York, U.S.",
20679,Rodney-O & Joe Cooley,,
20680,The New Life Community Choir,,
20681,Maura Sullivan - Original Artist,,
20682,Dangerous Toys,"Austin, Texas, United States",
20683,Mark Slaughter,Las Vegas,
20684,Queen Latifah,Newark,
20685,Texas,"Glasgow, Scotland","Glasgow, Scotland"
20686,Kon Kan,"Toronto, Ontario, Canada",
20687,D Moduguno,,
20688,The Five Keys,"Newport News, Virginia, United States|US",
20689,Bang Tango,"Los Angeles, California|Los Angeles, California, United States",
20690,Christopher Williams,The Bronx,
20691,John P. Kee,,
20692,G.S. Sachdev,,
20693,Bob Mould,New York City,
20694,Chuckii Booker,Los Angeles,
20695,Rev. Timothy Wright,,
20696,Marc Almond,Southport,
20697,808 State,"Manchester, England",
20698,River City People,,
20699,Hans Zimmer,Kassel,
20700,Terrorizer,"Los Angeles, California, U.S.",
20701,Junkyard,"Los Angeles, California, United States","Los Angeles, California, United States"
20702,Luz Casal,Boimorto,
20703,Shirley Kwan,Hong Kong,
20704,Vargas de Tecalitlan,,
20705,Do-Re-Mi Children's Chorus,,
20706,The Offspring,"Garden Grove, California, U.S.",
20707,STOP,,
20708,Paul Hertzog,,
20709,Miguel Cassina,,
20710,Nice & Smooth,,
20711,Patrick Bruel,Tlemcen,
20712,Joe Liggins,Guthrie,
20713,Mano Negra,"Paris, France","Paris, France"
20714,Angelo DeBarre,,
20715,Julio Preciado Y Su Banda Perla Del Pacifico,,
20716,Tin Machine,,
20717,Kwame,Akan people,
20718,Wrecks-N-Effect,,
20719,The Beautiful South,"Kingston upon Hull|Hull, United Kingdom",
20720,X JAPAN,,
20721,Dwight Yoakam with Buck Owens,,
20722,Cool C,,
20723,Black Box,Italy,Italy
20724,Calloway,,
20725,Saraya,"New Jersey, United States",
20726,Marisa Monte,Rio de Janeiro,
20727,Martin Gore,London,
20728,Russell Rush,,
20729,張洪量,,
20730,Electric Boys,"Stockholm, Sweden",
20731,Stuttgart Piano Trio,,
20732,The Mighty Mighty Bosstones,"Boston, Massachusetts, United States|U.S.",
20733,Zydecajun,,
20734,Otis Day & The Knights,,
20735,Željko Bebek,"Sarajevo, People's Republic of Bosnia and Herzegovina|PR Bosnia and Herzegovina, Federal People's Republic of Yugoslavia|FPR Yugoslavia",
20736,Yvonne Fair,"Richmond, Virginia|Richmond, Virginia, United States",
20737,Pajama Party,,
20738,Andrew Dice Clay,New York City,
20739,"Bishop Paul S. Morton, Sr.",,
20740,Hotdog,,
20741,DREAMS COME TRUE,,
20742,Greyboy,,
20743,VIP Mass Choir,,
20744,Jossie Esteban & La Patrulla 15,,
20745,Ten City,"Chicago, Illinois, U.S.",
20746,Roy C,Newington,
20747,Sarah McLachlan,Halifax,
20748,Stochelo Rosenberg,"Helmond, Netherlands",
20749,Black Lace,,
20750,The Adventures Of Stevie V,,
20751,Dark Angel,"Downey, California, U.S.","Downey, California, U.S."
20752,Erich Kunzel,"New York City, United States",
20753,Dramarama,"Wayne, New Jersey|Wayne, New Jersey, United States",
20754,Bobby Mackey,,
20755,Sonora Tropicana,,
20756,Red Flag,,
20757,The Wedding Present,"Leeds, England, United Kingdom",
20758,Bessie Smith,"Chattanooga, Tennessee, U.S.",
20759,Daryl Braithwaite,"Melbourne, Victoria (Australia)|Victoria, Australia",
20760,Zafra Negra,,
20761,Slint,"Louisville, Kentucky, United States",
20762,The Rankin Family,"Mabou, Nova Scotia",
20763,Blue Jeans,,
20764,Bob Andy & Marcia Griffiths,"Kingston, Jamaica|Kingston, Jamaica",
20765,Bob Fitts,,
20766,Alex Bugnon,"Montreux, Switzerland",
20767,Tora Tora,"Memphis, Tennessee, United States",
