,name,birthplace
31885,Daniel Colin,NaN
31886,Andy Hunter,NaN
31887,Mr. Airplane Man,NaN
31888,"Héctor ""El Father""",NaN
31889,Lone Catalysts,NaN
31890,The Arrows and Friends,NaN
31891,Charlie Callas,NaN
31892,Tony Christie,NaN
31893,Cox,NaN
31894,Steve Sharples,NaN
31895,Noshi Mizuta,NaN
31896,Sasha Lazard,NaN
31897,Linda Hart,NaN
31898,Li Xiangting,NaN
31899,Ian Giles,NaN
31900,Shilelagh Law,NaN
31901,Oswaldo Y Su Grupo Coco,NaN
31902,Ms. Jade,Philadelphia
31903,Midnite,NaN
31904,Vern Blair Debate,NaN
31905,Little Brother,NaN
31906,Nesian Mystik,NaN
31907,Joann Rosario,NaN
31908,Liberty X,NaN
31909,Sergio Mendivil Y Sus Huellas,NaN
31910,Boosie Badazz,NaN
31911,Lil Cuete,NaN
31912,Frei.Wild,NaN
31913,Sin,NaN
31914,The frozen Autumn,NaN
31915,7L & Esoteric,NaN
31916,Jan Wayne,NaN
31917,Lil Green,Mississippi
31918,Shastro,NaN
31919,Yuji Ohno,NaN
31920,Georg Gabler,NaN
31921,B.E.T.,NaN
31922,J. Brothers Band,NaN
31923,Galileo,NaN
31924,Hayes Carll,NaN
31925,Slackstring,NaN
31926,Will Young,Wokingham
31927,Ung Hoang Phuc,NaN
31928,Germán Lizárraga y Su Banda Estrellas De Sinaloa,NaN
31929,Jucifer,NaN
31930,Louie Austen,NaN
31931,Albert Lee & Hogan's Heroes,NaN
31932,陳慧珊,NaN
31933,Cantando con Adriana,NaN
31934,Magic Juan,Washington Heights
31935,Eriq,NaN
31936,The Celtic Connection,NaN
31937,Yuri Shatunov,Kumertau
31938,Mad at Gravity,NaN
31939,Astolfo Romero,NaN
31940,Robin Mark,Chur
31941,Braxton Brothers,NaN
31942,De Nuit,NaN
31943,Mount Sims,NaN
31944,Greg Maroney,NaN
31945,Trebol Clan,NaN
31946,Osman Hadzic,NaN
31947,Fernanda Brum,Rio de Janeiro
31948,Cowboys & Aliens,NaN
31949,Ike Bennett,NaN
31950,Sur 16,NaN
31951,The Navigators,NaN
31952,Jimmy Fallon,Brooklyn
31953,Jaguar Wright,Philadelphia
31954,Fuzon,NaN
31955,Deep Dive Corp.,NaN
31956,Venu,NaN
31957,MISIA,NaN
31958,M.C. Breed & DFC.,NaN
31959,City of Caterpillar,NaN
31960,Zsa Zsa Padilla,NaN
31961,Narciso Saúl,NaN
31962,Samba De Raiz,NaN
31963,Soilwork,NaN
31964,Young Zee,NaN
31965,Christophe Goze,NaN
31966,Richa Sharma,NaN
31967,The Virus,NaN
31968,Zombina & The Skeletones,NaN
31969,Sassey,NaN
31970,Tragedy,NaN
31971,Mike McClure,NaN
31972,Boomkat,NaN
31973,Danny English,NaN
31974,Trespassers William,NaN
31975,Jackie Hoffman,NaN
31976,Juicy Lucy,NaN
31977,Harriet Harris,NaN
31978,Downthesun,NaN
31979,Kutless,NaN
31980,35007,NaN
31981,Frank Wilson,Norfolk
31982,Ls Jack,NaN
31983,Orquesta Melao,NaN
31984,Edison Chen,Vancouver
31985,Oscar G & Ralph Falcon,NaN
31986,God Is An Astronaut,NaN
31987,Devi Sri Prasad,Vedurupaka
31988,The Delgados,NaN
31989,Ka'ala Boys,NaN
31990,Vika,NaN
31991,Lisa Harris,NaN
31992,Conjunto Alma Llanera,NaN
31993,Dummy,NaN
31994,Despina Vandi,NaN
31995,Icarus,NaN
31996,Jonn Serrie,Waterford
31997,Sanseverino,NaN
31998,Idlewild,NaN
31999,The Gatherers,NaN
32000,Conjunto Saladillo,NaN
32001,Looptroop Rockers,NaN
32002,Diego Pisador,Salamanca
32003,Narutee,NaN
32004,Peedi Crakk,NaN
32005,Daniel Guichard,4th arrondissement of Paris
32006,Mike V & The Rats,NaN
32007,Sumangali,NaN
32008,Daniel Lioneye,NaN
32009,Shelley Winters,East St. Louis
32010,Elefante A Dueto Con Cristina Narea,NaN
32011,Salbakuta,NaN
32012,Pretty Girls Make Graves,NaN
32013,Jenifer,NaN
32014,Vitamin String Quartet,NaN
32015,Samira Saeed - Mami,NaN
32016,BWB,NaN
32017,Jhiame,NaN
32018,Dorothy Donegan,NaN
32019,Flyswatter,NaN
32020,Unico Wilhelm van Wassenaer,Delden
32021,8-Off Agallah Featuring Sean Price & Bazaar Royale,NaN
32022,Pain of Salvation,NaN
32023,Ernie K-Doe,NaN
32024,Ekkehard Ehlers,Frankfurt
32025,Raphy Leavitt y Su Orquesta La Selecta,NaN
32026,Amor y Gaita,NaN
32027,Thoroughly Modern Millie Orchestra,NaN
32028,No Te Va Gustar,NaN
32029,Charanga Habanera,NaN
32030,Alfredo El Pulpo Y Sus Teclados,NaN
32031,The Birthday Massacre,NaN
32032,Monte La Rue,NaN
32033,Bảo Yến,NaN
32034,Ibrar-Ul-Haq,NaN
32035,Steel Drum Island,NaN
32036,Rishi Rich,Croydon
32037,Dudley Perkins,Oxnard
32038,Pacewon,NaN
32039,Ceza,NaN
32040,Paraiso Tropical De Durango,NaN
32041,Dorinda Clark-Cole,NaN
32042,Sandeep Chowta,Ghana
32043,3rd Storee,NaN
32044,Khan,NaN
32045,HYDE,NaN
32046,Scaramouche,NaN
32047,Lakewood Church,NaN
32048,A,NaN
32049,El Coyote Y Su Banda,NaN
32050,Bustamante,NaN
32051,Vicky Emerson,NaN
32052,Eric Neveux,NaN
32053,Lettuce,NaN
32054,Valery Meladze,NaN
32055,Soluna,NaN
32056,Red Buttons,NaN
32057,Bob Crewe and Charles Fox,NaN
32058,Joy Zipper,NaN
32059,Orquesta Del Plata,NaN
32060,At Vance,NaN
32061,Los Cojolites,NaN
32062,The Vocal Majority Chorus,NaN
32063,Everything,NaN
32064,Jason Upton,Minneapolis
32065,Damon Dash,New York City
32066,Frelsesarmeen,NaN
32067,Zoya Yashchenko,NaN
32068,Frayser Boy,NaN
32069,Rakesh Chaurasia,NaN
32070,Birju Maharaj,NaN
32071,The Mercury Seed,NaN
32072,Alpha Wave Movement,NaN
32073,Layo & Bushwacka!,NaN
32074,SHY FX,NaN
32075,Leningrad,NaN
32076,David Milligan,NaN
32077,Junior Maile,NaN
32078,Zeal,NaN
32079,The Music,NaN
32080,DL Incognito,Ottawa
32081,Sade Adu,NaN
32082,Ken Leung,NaN
32083,Мать Тереза,NaN
32084,Mambo All Stars,NaN
32085,Marea,NaN
32086,Joseph Kilna MacKenzie,NaN
32087,The Decemberists,NaN
32088,The Red Chord,NaN
32089,Jon Kennedy,NaN
32090,No Warning,NaN
32091,Passage,NaN
32092,Georg Levin,NaN
32093,Beverley Knight,Wolverhampton
32094,Jessie Hill,New Orleans
32095,iio,NaN
32096,Sarkhosh Shahbazi,NaN
32097,Robert Rodriguez,San Antonio
32098,The Sugarman 3,NaN
32099,Jay Munly,NaN
32100,Sergio Cammariere,Crotone
32101,Lexxus,NaN
32102,Rouge,NaN
32103,張玉華,NaN
32104,Finbar Furey,NaN
32105,Fatso Jetson,NaN
32106,Shane & Shane,NaN
32107,Stephane Wrembel,NaN
32108,Mariachi Los Camperos,NaN
32109,Xploding Plastix,NaN
32110,Absurd Minds,NaN
32111,Mechanical Me,NaN
32112,Asa-Chang & Junray,NaN
32113,The Talleys,NaN
32114,Cokelat,NaN
32115,Lorain Fox,NaN
32116,38th Parallel,NaN
32117,El Super Show De Los Vasquez,NaN
32118,Dick Latessa,NaN
32119,Grupo Jujuy,NaN
32120,Howie Day,Bangor
32121,Sammy Davis Jr. & Frank Sinatra,NaN
32122,Rich McKinney,NaN
32123,Raised Fist,NaN
32124,Jan A.P. Kaczmarek,NaN
32125,DJ Ross,NaN
32126,Alpinestars,NaN
32127,La Brissa,NaN
32128,Fertile Ground,NaN
32129,Who Da Funk,NaN
32130,Benny Spellman,NaN
32131,T.K. Soul,NaN
32132,Billo's Caracas Boys Vs. Los Melódicos,NaN
32133,Tab Benoit,NaN
32134,The Epidemic,NaN
32135,Los Sinners,NaN
32136,Subliminal,Tel Aviv
32137,Max & Ruby,NaN
32138,Marc Broussard,Carencro
32139,Johann Baptist Cramer,Mannheim
32140,The Reindeer Section,NaN
32141,La Nueva Dinastía,NaN
32142,Darius,NaN
32143,Chito Moiranda,NaN
32144,Warcry,NaN
32145,Elle Choi,NaN
32146,Jean Amadou,Lons-le-Saunier
32147,Shawn Desman,Toronto
32148,Monica Mancini,NaN
32149,Zuco 103,NaN
32150,Grupo uno,NaN
32151,Cary Pierce,NaN
32152,Gina Young,NaN
32153,Dickheadz,NaN
32154,Vassendgutane,NaN
32155,John Frizzell,Kingston
32156,Bane Bojanic,NaN
32157,Butch Walker,Rome
32158,Walter Silva,São Paulo
32159,Baby D.,NaN
32160,Caitlin Cary,Seville
32161,Francois Jutras,NaN
32162,Foghorn Stringband,NaN
32163,Lyalya Rubleva,NaN
32164,Street Vendors,NaN
32165,The Seldom Herd,NaN
32166,Greenwheel,NaN
32167,Fermin IV,NaN
32168,The Showmen,NaN
32169,Nooshafarin,NaN
32170,Callenish Circle,NaN
32171,Fishermen's Friends,NaN
32172,Ransom Bandits,NaN
32173,Corey,NaN
32174,Michael Stipe,Decatur
32175,Nils Landgren,Degerfors
32176,Nearly God,NaN
32177,Miguel Vera,NaN
32178,Peter Anthony,NaN
32179,Sarah Michelle Gellar,New York City
32180,Bénédicte Lecroard,NaN
32181,Lazybatusu,NaN
32182,Plena del Sol,NaN
32183,Brad Prevedoros,NaN
32184,Steve Wood,NaN
32185,The Christianaires,NaN
32186,Alma Sinti,NaN
32187,The Ogyatanaa Show Band,NaN
32188,Grupo Bagdad,NaN
32189,Simian,NaN
32190,Susan McKeown,NaN
32191,Across Five Aprils,NaN
32192,Yasmeen,NaN
32193,Sofa Surfers,NaN
32194,Black Crowes & The,NaN
32195,Michael v,NaN
32196,Misty In Roots,NaN
32197,Butyrka,NaN
32198,I Could Sing Kids Performers,NaN
32199,Marion Sumner,NaN
32200,Watermark,NaN
32201,Trio Marimberos,NaN
32202,Billy Jonas,NaN
32203,Electric Wizard,NaN
32204,Tomcraft,Munich
32205,Hot Action Cop,NaN
32206,Los Caligaris,NaN
32207,Groove Riders,NaN
32208,許紹洋,NaN
32209,Big Gipp,NaN
32210,Jules Barbier,Paris
32211,Tokyo Ska Paradise Orchestra,NaN
32212,Alexander Knaifel,Tashkent
32213,Tania Saleh,NaN
32214,Hazmat Modine,NaN
32215,Kataklysm,NaN
32216,The Blank Theory,NaN
32217,Lange,NaN
32218,Mnogotochie,NaN
32219,Giovanni,NaN
32220,Simple Plan,NaN
32221,Thoroughly Modern Millie Ensemble,NaN
32222,Curumin,São Paulo
32223,Grado 33,NaN
32224,Steven Houser,NaN
32225,Victor Olaiya,NaN
32226,Suttle Thoughts,NaN
32227,Potshot,NaN
32228,Sharyn Maceren,NaN
32229,El Chavo,NaN
32230,The New York Restoration Choir,NaN
32231,The Casket Lottery,NaN
32232,Benefit,NaN
32233,Bokaloka,NaN
32234,The Hunches,NaN
32235,Poor Old Lu,NaN
32236,C. Vaughn Leslie & Boys' Night Out,NaN
32237,The Bacon Brothers,NaN
32238,Heavy Shift,NaN
32239,Truth Hurts,St. Louis
32240,Miroslav Skoro,NaN
32241,Kojo Antwi,NaN
32242,Group 3,NaN
32243,Los Pajaritos Del Sur,NaN
32244,Hilight Tribe,NaN
32245,Edith Kanaka'ole,NaN
32246,The Lucksmiths,NaN
32247,Sherine,NaN
32248,Unbunny,NaN
32249,Willy Cruz,NaN
32250,Walela,NaN
32251,Antonio Badu,NaN
32252,Phil Lesh & Friends,NaN
32253,The Spam Allstars,NaN
32254,Manuel Loco Valdés,NaN
32255,Rashed Al-Majed,NaN
32256,The Jacka,NaN
32257,David Lee Garza Y Los Musicales,NaN
32258,Laava,NaN
32259,Dezarie,NaN
32260,Murder By Death,NaN
32261,Richard Shindell,Lakehurst
32262,Between The Buried And Me,NaN
32263,Jadon Lavik,Redmond
32264,Kawago,NaN
32265,Alex Rosselli,NaN
32266,Nol,NaN
32267,余天,NaN
32268,Amiel Daemion,NaN
32269,FPU,NaN
32270,S Club Juniors,NaN
32271,Naoki Kenji,NaN
32272,Manh Quynh,NaN
32273,Carillo,NaN
32274,"Tito ""El Bambino""",NaN
32275,Chicken,NaN
32276,MadHouse,NaN
32277,I-Zax,NaN
32278,Steve Kujala,NaN
32279,Unikkatil,NaN
32280,Stagecrew,NaN
32281,Reeltime Travellers,NaN
32282,Patricia Manterola,NaN
32283,Jia Liang Luo,NaN
32284,Marla Johnson,NaN
32285,Dj Pone,NaN
32286,Pelle Politibil,NaN
32287,Russell Watson,NaN
32288,Doug Martsch,NaN
32289,FPM,NaN
32290,Patrick Alavi,NaN
32291,Jurgen Vries,NaN
32292,Los Astros de China,NaN
32293,Stereo Fuse,NaN
32294,The Tao Of Groove,NaN
32295,Will Pan,NaN
32296,Botch,NaN
32297,Dannii Minogue,Melbourne
32298,Triny y La Leyenda de Tuzantla Mich.,NaN
32299,Emma Shapplin,Savigny-le-Temple
32300,Issa Bagayogo,NaN
32301,Oblik,NaN
32302,The Mercury Program,NaN
32303,James Marsters,Greenville
32304,Judas Iscariot,NaN
32305,Tumbara,NaN
32306,Owen,NaN
32307,Camille,Paris
32308,Grenada,NaN
32309,The Russian Futurists,NaN
32310,Z-Chen,NaN
32311,Shaman,NaN
32312,Hermanas Aguila,NaN
32313,Wayne,Champigny-sur-Marne
32314,Sharon Jones & The Dap-Kings,NaN
32315,Tom Wasinger,NaN
32316,Jaspinder Narula,NaN
32317,Haitian Troubadours,NaN
32318,Arjen Anthony Lucassen's Star One,NaN
32319,Edwin Bonilla,NaN
32320,Kelly Llorenna,NaN
32321,Dragonland,NaN
32322,Radmilla Cody,NaN
32323,Power Quest,NaN
32324,All That Remains,NaN
32325,Autopilot Off,NaN
32326,Simonette Vaja,NaN
32327,"Jon English, Rob Carriker, Marlborough Singers & Marlborough Chamber Players",NaN
32328,Jeffrey Michael,NaN
32329,Justus Köhncke,Gießen
32330,Sarah Fimm,Tulsa
32331,Booba,NaN
32332,Flip & Fill,NaN
32333,Xavier Rudd,Torquay
32334,Ho'onu'a,NaN
32335,Floyd Taylor,NaN
32336,Stretch Princess,NaN
32337,Either/Orchestra,NaN
32338,Theodros Kassahun,NaN
32339,B-Dawg,NaN
32340,Metro Area,NaN
32341,Na 'Oiwi,NaN
32342,Wovenhand,NaN
32343,Playgroup,NaN
32344,Trio Huasteco Caimanes de Tamuin,NaN
32345,Hitomi Shimatani,NaN
32346,Ab Normal,NaN
32347,"50/50 Twin, Lil Mario, Lil Flip",NaN
32348,Dälek,NaN
32349,Bad Company UK,NaN
32350,Honeybus,NaN
32351,Chris Stuart,Durham
32352,Ponchoman,NaN
32353,Feist,Amherst
32354,Brian Tyler,Los Angeles
32355,Monna Bell,NaN
32356,Rouge Rouge,NaN
32357,Q-Town,NaN
32358,Evanescence,NaN
32359,Baby Bash,NaN
32360,Jet,NaN
32361,Three Days Grace,NaN
32362,Shinedown,NaN
32363,Dierks Bentley,Phoenix
32364,Chingy,NaN
32365,The Darkness,NaN
32366,Story Of The Year,NaN
32367,Pharrell Williams,Virginia Beach
32368,Gavin DeGraw,South Fallsburg
32369,Casting Crowns,NaN
32370,Tego Calderon,NaN
32371,Josh Turner,Florence
32372,Junior Senior,NaN
32373,John Foxx,Chorley
32374,G-Unit,NaN
32375,Lil Wyte,Memphis
32376,Kelly Clarkson,Fort Worth
32377,Michael Bublé,Burnaby
32378,Broken Social Scene,NaN
32379,Murphy Lee,St. Louis
32380,Damien Rice,Dublin
32381,TV On The Radio,NaN
32382,The Chords,NaN
32383,Benny Benassi,Reggio nell’Emilia
32384,Anthony Hamilton,Charlotte
32385,Ziggy Marley,Kingston
32386,Hilary Duff,Houston
32387,Los Lonely Boys,NaN
32388,Frankie J,La ciudad cool
32389,Sin Bandera,NaN
32390,Bone Crusher,NaN
32391,David Banner,Jackson
32392,Grupo Sonador,NaN
32393,Maelo Ruiz,NaN
32394,Motion City Soundtrack,NaN
32395,The Ben Taylor Band,NaN
32396,Jack Johnson,Honolulu
32397,Los Yes Yes,NaN
32398,Chad Kroeger,Hanna
32399,Saosin,NaN
32400,Kem,NaN
32401,The Diplomats,NaN
32402,Amy Winehouse,Southgate
32403,Thousand Foot Krutch,NaN
32404,Lil' Mo,New York City
32405,FLOW,NaN
32406,Billy Talent,NaN
32407,Luny Tunes,NaN
32408,Aniceto Molina Y La Luz Roja De San Marcos,NaN
32409,Joe Budden,NaN
32410,Brother Ali,Madison
32411,Buddy Jewell,Lepanto
32412,La Factoria,NaN
32413,King Geedorah,NaN
32414,Lindsay Lohan,The Bronx
32415,Lumidee,NaN
32416,Pimp C,Port Arthur
32417,Streetlight Manifesto,NaN
32418,Revis,NaN
32419,Nujabes,Adachi-ku
32420,Kings of Leon,NaN
32421,Bronco El Gigante de America,NaN
32422,Perpetual Groove,NaN
32423,The Coral,NaN
32424,Kindred The Family Soul,NaN
32425,Yandel,NaN
32426,Trillville,NaN
32427,Barrett Strong,West Point
32428,Los Telez,NaN
32429,Phil Oakey,NaN
32430,Mitch Hedberg,Saint Paul
32431,Akwid,NaN
32432,DNA,NaN
32433,Fredrik Kronkvist,NaN
32434,The Mars Volta,NaN
32435,Electric Six,NaN
32436,Shantala,NaN
32437,Josh Ritter,Moscow
32438,Vicki Yohe,Normal
32439,Shankar-Ehsaan-Loy,NaN
32440,Solido,NaN
32441,Viktor Vaughn,NaN
32442,Celldweller,NaN
32443,Metric,NaN
32444,Obie Bermudez,NaN
32445,Sweet Trip,NaN
32446,Mickey and the Gang,NaN
32447,Sufjan Stevens,Detroit
32448,Vicentico,Buenos Aires
32449,Lil Scrappy,NaN
32450,Yahir,NaN
32451,Los Inquietos Del Norte,NaN
32452,The Rosebuds,NaN
32453,Juelz Santana,New York City
32454,Stephanie D'Abruzzo,NaN
32455,Psychostick,NaN
32456,Billy Currington,Savannah
32457,Christina Vidal,NaN
32458,Gloc 9,NaN
32459,Gondwana,NaN
32460,Ha*Ash,NaN
32461,Mae,NaN
32462,The Spill Canvas,NaN
32463,Lyrics Born,Tokyo
32464,Creed Bratton,Los Angeles
32465,Charles Givings,NaN
32466,Axel,Rafael Calzada
32467,Loon,NaN
32468,Madlib,Oxnard
32469,The Disney Holiday Chorus,NaN
32470,Kaki King,Atlanta
32471,Joss Stone,Dover
32472,Dwele,NaN
32473,Eden James,NaN
32474,The RH Factor,NaN
32475,As I Lay Dying,NaN
32476,Desert Sessions,NaN
32477,Soraya,Point Pleasant
32478,The Bronx,NaN
32479,Senses Fail,NaN
32480,Motograter,NaN
32481,Zooey Deschanel,Los Angeles
32482,Mark Ronson,London
32483,Kinto Sol,NaN
32484,John Tartaglia,NaN
32485,William Basinski,Houston
32486,The Be Good Tanyas,NaN
32487,Lotus ,NaN
32488,Josh Kelley,Augusta
32489,Nick Cannon,San Diego
32490,La Autentica de Jerez Zacatecas,NaN
32491,Liam Lynch,Petersburg
32492,TM Juke,NaN
32493,Rob Thomas,Landstuhl
32494,Hovia Edwards,NaN
32495,Zamfir,NaN
32496,Choke,NaN
32497,Jamelia,Smethwick
32498,Jedi Mind Tricks,NaN
32499,Trocadero,NaN
32500,Grupo Marrano,NaN
32501,The Long Winters,NaN
32502,Da Entourage,NaN
32503,T. Yorke,NaN
32504,Element Eighty,NaN
32505,ASIAN KUNG-FU GENERATION,NaN
32506,Bleeding Through,NaN
32507,Los Nietos,NaN
32508,Nick Lachey,Harlan
32509,Dr Zeus,Birmingham
32510,Houston,NaN
32511,Cyndi Wang,NaN
32512,DevilDriver,NaN
32513,Rooney,NaN
32514,Belinda,NaN
32515,Ka’au Crater Boys,NaN
32516,Michael Mandrell and Benjy Wertheimer,NaN
32517,The Bad Plus,NaN
32518,Laura Sullivan,San Francisco
32519,Ronnie James Dio,Portsmouth
32520,Sheek Louch,NaN
32521,Groundation,NaN
32522,Aaron Watson,Amarillo
32523,Girls Aloud,NaN
32524,Linda Rowberry,NaN
32525,Silverstein,NaN
32526,Avenue Q Ensemble,NaN
32527,Ruben Studdard,NaN
32528,Lisa McClendon,Jacksonville
32529,The Radio Dept.,NaN
32530,Matchbook Romance,NaN
32531,Miguel Mateos,Villa Pueyrredón
32532,Sean Hayes,Chicago
32533,Young Buck,Nashville
32534,FM Static,NaN
32535,Clay Aiken,NaN
32536,Fischerspooner,NaN
32537,Latif,NaN
32538,Zona Rika,NaN
32539,Big B,NaN
32540,Ahamd Shamlu,NaN
32541,Brad Sucks,NaN
32542,Belanova,NaN
32543,Brandon Jenkins,Tulsa
32544,Meiko Kaji,NaN
32545,Jeff Bates,NaN
32546,El Viejo Paulino Y Su Gente,NaN
32547,The Forces Of Evil,NaN
32548,Teitur,NaN
32549,Lillix,NaN
32550,Babik Reinhardt,Paris
32551,Armor For Sleep,NaN
32552,The Redwalls,NaN
32553,Matthew West,Downers Grove
32554,Yolanda Pérez,Long Beach
32555,Charizma,NaN
32556,The Kills,NaN
32557,The Heartbeats,NaN
32558,Kailash Kher,Meerut
32559,Conjunto Atardecer,NaN
32560,The Jive Bombers,NaN
32561,A Static Lullaby,NaN
32562,Depswa,NaN
32563,Zion & Lennox,NaN
32564,Billy,NaN
32565,Yerba Buena,NaN
32566,Interpuesto,NaN
32567,Masterplan,NaN
32568,Prem Joshua,NaN
32569,Monchy & Alexandra,NaN
32570,Stars,NaN
32571,La Numero 1 Banda Jerez De Marco A. Flores,NaN
32572,La Dinastia Tuzantla,NaN
32573,The Mock Turtles,NaN
32574,The Stills,NaN
32575,Jorge Gamboa,NaN
32576,The Perishers,NaN
32577,Room 5,NaN
32578,Grupo Maravilla,NaN
32579,Haddaway,NaN
32580,Ben Woolman,NaN
32581,Wendell B,NaN
32582,Funeral For A Friend,NaN
32583,Natalie Venetia Belcon,NaN
32584,The Chantels,NaN
32585,Katherine Nelson,NaN
32586,Gil Ross,NaN
32587,L.A. Mass Choir,NaN
32588,La Dinastía de Tuzantla Michoacán,NaN
32589,Ott,NaN
32590,The Cat Empire,NaN
32591,Dos Gringos,NaN
32592,Socialburn,NaN
32593,The Notwist,NaN
32594,Parsley Sound,NaN
32595,Jack White,Detroit
32596,Devin Townsend Band,NaN
32597,Impacto Mc,NaN
32598,Violent J,NaN
32599,Sweatshop Union,NaN
32600,Tercer Cielo,NaN
32601,Omar Cunningham,NaN
32602,Marilyn Byrnes,NaN
32603,H Saban,NaN
32604,Brian Withycombe,NaN
32605,Jay R,NaN
32606,Nathan Haines,NaN
32607,Mudmen,NaN
32608,Kaada,NaN
32609,Mickey & His Friends,NaN
32610,Easy Star All-Stars,NaN
32611,DeVotchKa,NaN
32612,Tyrone Wells,NaN
32613,Jae-P,NaN
32614,Jimmy Wayne,Kings Mountain
32615,Vanessa Da Mata,NaN
32616,Lifesavas,NaN
32617,Bebo Valdés,Quivicán
32618,Kalmah,NaN
32619,Michael R. Hicks Youth choir,NaN
32620,Kaskade,Evanston
32621,Fefe Dobson,Scarborough
32622,Sasha,Bangor
32623,The Sleepy Jackson,NaN
32624,Robert Randolph & The Family Band,NaN
32625,Kate Ryan,NaN
32626,Matt the Electrician,NaN
32627,Sam Roberts Band,NaN
32628,Spitalfield,NaN
32629,Dave Attell,NaN
32630,The Paradise,NaN
32631,Backini,NaN
32632,Get Set Go,NaN
32633,Fingertight,NaN
32634,Benjamin Gibbard,NaN
32635,Vendetta Red,NaN
32636,Alexisonfire,NaN
32637,Carbon Based Lifeforms,NaN
32638,Cauterize,NaN
32639,Machel Montano,Carenage
32640,Prefuse 73,NaN
32641,Katie Melua,Kutaisi
32642,Simon Schott,Munich
32643,ohGr,NaN
32644,South Austin Jug Band,NaN
32645,Catherine Lucille,NaN
32646,Hymie's Basement,NaN
32647,Christopher O'Riley,NaN
32648,JJ Lin,Singapore
32649,The Low Life,NaN
32650,Soulja Slim,NaN
32651,Apathy,NaN
32652,Black Eyes,NaN
32653,Lee Hyori,Cheongju
32654,Dirty Projectors,NaN
32655,Jaylib,NaN
32656,Los Chicos Aventura,NaN
32657,Mika Nakashima,Hioki
32658,The Deadly Snakes,NaN
32659,Captain Sensible,Balham
32660,Bad Boy's Da Band,NaN
32661,Within Temptation,NaN
32662,T.O.K.,NaN
32663,DragonForce,NaN
32664,Sugarfree,NaN
32665,6cyclemind,NaN
32666,Tipper,NaN
32667,stellastarr*,NaN
32668,Eastmountainsouth,NaN
32669,Xiu Xiu,NaN
32670,The Thrills,NaN
32671,The Exploding Hearts,NaN
32672,Lorna,NaN
32673,Eclipse,NaN
32674,Roscoe,NaN
32675,The Black Dahlia Murder,NaN
32676,Nach,NaN
32677,Ari Lasso,NaN
32678,E-Town Concrete,NaN
32679,Drala,NaN
32680,No Cash,NaN
32681,DJ Frane,NaN
32682,Substantial,Cheverly
32683,Tim Wheater,NaN
32684,The Kiboomers,NaN
32685,M83,NaN
32686,Legendary Shack Shakers,NaN
32687,Daniel Calveti,NaN
32688,Mauricio & PalodeAgua,NaN
32689,Grupo Atado,NaN
32690,Bravehearts,NaN
32691,Jim Cushinary,NaN
32692,Boys Night Out,NaN
32693,Gnarkill,NaN
32694,Grupo Kual?,NaN
32695,Delia Chariker,NaN
32696,Octane,NaN
32697,Doyle Bramhall,Dallas
32698,Dane Cook,Boston
32699,John Taylor,Dublin
32700,Trivium,NaN
32701,Quique Neira,NaN
32702,Glen Hansard,Dublin
32703,Kanye West,Atlanta
32704,Robert Kochis,NaN
32705,Lo-Pro,NaN
32706,Ben Leinbach,NaN
32707,Bluetech,San Diego
32708,Babbletron,NaN
32709,Morgan Adams Quartet Plus Two,NaN
32710,Busted,NaN
32711,Pibes Chorros,NaN
32712,Vakhtang Kakhidze,Tbilisi
32713,Anberlin,NaN
32714,Letterland,NaN
32715,Rahat Fateh Ali Khan,NaN
32716,Fannypack,NaN
32717,La Cream,NaN
32718,John Brown's Body,NaN
32719,The Wrens,NaN
32720,Banda Alameda De Arturo Macias,NaN
32721,Sheer Terror,NaN
32722,Planet Funk,NaN
32723,Jordan Gelber,NaN
32724,Sia,Adelaide
32725,Princess' Lover,NaN
32726,Jorge Oñate,Los Robles La Paz
32727,DJ Remix 2,NaN
32728,Beth & Scott,NaN
32729,Myron,NaN
32730,The Exies,NaN
32731,Rick Lyon,NaN
32732,Benjamin Biolay,Villefranche-sur-Saône
32733,Sarah Geronimo,Sampaloc
32734,David Francey,Ayrshire
32735,Sworn Enemy,NaN
32736,Jeff Bennett,NaN
32737,Paul Adams,NaN
32738,Los Hermanos Zuleta,NaN
32739,Volumen X,NaN
32740,Ron Wasserman,Encino
32741,Slow Roosevelt,NaN
32742,Pitty,NaN
32743,Danger Mouse,White Plains
32744,Jose Luis Reyes,NaN
32745,Falling Up,NaN
32746,Lev Tahor,NaN
32747,Entrance,NaN
32748,The Flying Luttenbachers,NaN
32749,"Héctor Acosta ""El Torito""",NaN
32750,Frank Black & The Catholics,NaN
32751,Marco Barrientos & David Luckey,NaN
32752,Mr. Dibbs,Cincinnati
32753,Bear Vs. Shark,NaN
32754,"Los Pajaritos de Tacupa, Mich",NaN
32755,A Nite Out,NaN
32756,The RZA/Charles Bernstein,NaN
32757,Horse The Band,NaN
32758,John Townsend,Smithfield
32759,T-Rock,NaN
32760,Varetta Dillard,NaN
32761,Stephan Noel Lang,NaN
32762,Kid Koala,NaN
32763,Non Prophets,NaN
32764,Outlandish,NaN
32765,Maggie Fu,NaN
32766,The Von Bondies,NaN
32767,Chuck Willis,Atlanta
32768,"Wayne Wonder, LL Cool J [Feat. Dutchess]",NaN
32769,GQ,NaN
32770,Jesse Spencer,NaN
32771,DF Dub,NaN
32772,Brazeros Musical De Durango,NaN
32773,The Meeting Places,NaN
32774,Scott H. Biram,Lockhart
32775,Superjoint,NaN
32776,Doubledrive,NaN
