,name,birthplace
696,Orquestra de Clube da Banda do 14° RI,NaN
697,C. S. Jayaraman,NaN
698,Jo Basile,NaN
699,Various Artists,NaN
700,Maria Cole,NaN
701,Vicentico Valdés con Orquesta,NaN
702,Franz Schubert,Himmelpfortgrund
703,Rolf Kühn,Cologne
704,John Mackenzie,Gairloch
705,Mehdi Hassan,NaN
706,Juan Montoya,NaN
707,Heitor Villa-Lobos,Rio de Janeiro
708,Mark Murphy,NaN
709,Raj Kapoor,Peshawar
710,The Ernie Wilkins Orchestra,NaN
711,Rustichelli Carlo,NaN
712,مها صبرى,NaN
713,Pirgaki Filio,NaN
714,Das Bristol-Tanzorchester,NaN
715,Mario Nascimbene,Milan
716,Manolis Panagiotou,NaN
717,Kenny Graham,London
718,Brother Dave Gardner,NaN
719,Antonín Dvořák,Nelahozeves
720,The Lawson Haggart Band,NaN
721,S. Janaki,NaN
722,Avsenik V. S.,NaN
723,Getta Petry,NaN
724,Beit Ahinuch Children's Choir,NaN
725,Palmerston North Salvation Army Band,NaN
726,Luciano Zuccheri E La Sua Orchestra,NaN
727,Johnny Desmond,NaN
728,Petros Anagnostakis,NaN
729,Maria Paris,NaN
730,Peter Turgeon,NaN
731,Marina Polixronopoulou,NaN
732,Nicolaus Vetter,Herschdorf
733,Charles K.L. Davis,NaN
734,Zurnacı Emin,NaN
735,Romke De Waard & Piet H. Broerse,NaN
736,Rosendo Rosell,NaN
737,Joseph Kobzon,NaN
738,Raoul Poliakin And His Orchestra,NaN
739,Детский хор Института Художественного Воспитания АПН СССР,NaN
740,Katina Meidani,NaN
741,Kurt Weill,Dessau
742,Max Bruch,Cologne
743,Bob and Evelyne Beers,NaN
744,Inge Buchner,NaN
745,Manik Varma,Pune
746,Savannah Churchill,NaN
747,Louis Edmonds,NaN
748,Sandhya Mukherjee,NaN
749,Zlatica Hrncevic,NaN
750,Harry Breuer,NaN
751,Tejedor Y Su Grupo,NaN
752,The Crawlin' Hex,NaN
753,The Upsetters,NaN
754,The Bill Wolfgramm Group,NaN
755,Buck Clayton,Kansas
756,Jean Carignan,NaN
757,"J. Windhurst, Mezz Mezzrow, Vernon Brown, Art Hodes, Pops Foster, George Wettling",NaN
758,Italian Festival Chorus Della Piazza & Orchestra,NaN
759,Mariachi Mexico,NaN
760,Giorgos Vasilakis,NaN
761,Nelson Eddy,NaN
762,Orlando Silva,NaN
763,Wolfgang Roth,Bad Wildungen
764,Ansambl Borisa Kovačića,NaN
765,Joe Harris,NaN
766,"Not Applicable,",NaN
767,Mark Olf,NaN
768,Louis Vierne,Poitiers
769,Chandra,NaN
770,Mešani In Moški Zbor Rtv Ljubljana,NaN
771,The Rockin Stockins,NaN
772,P. Leela,NaN
773,Los Astros Del Tango,NaN
774,Chaba Nouria,NaN
775,Manju Gupta,NaN
776,Simonetti,NaN
777,Dahmane El Herrachi,NaN
778,Roberto Nicolosi,Genoa
779,Carolina Cardoso de Menezes,NaN
780,Rundfunk-Kinderchor Leipzig,NaN
781,Noura,NaN
782,Yossi Banai,Jerusalem
783,Bob Fleming,NaN
784,Bill McAdoo and Pete Seeger,NaN
785,Francesco Geminiani,Lucca
786,Rex Franklin,NaN
787,Eduardo di Capua,Naples
788,Eddy Bastos,NaN
789,National Philharmonic Orchestra,NaN
790,Giovanni Battista Pergolesi,Iesi
791,Johnny Griffin,Chicago
792,Talat Mahmood,NaN
